Kód;Elnevezés;Ország;Tájegység;"Dátum (ÉÉÉÉ-HH-NN)";Napok;"Szállás (sator/turistahaz/apartman/hotel)";"Túramód (gyalogos/kerekparos/vizi/si/barlangi/munka)";Altípus;Km;"Magashegyi km";"Szintemelkedés (m)";"Magashegyi szintemelkedés (m)";"Túraidő (óra)";"Többnapos típusa (csillag/vandor)";"Eltöltött éjszakák";Hajóátemelések;"Vendég résztvevők";"Lizzardier pont";"MTSZ pont"
99;Pilisszentkereszt-Dobogókő;HU;Pilis;2020-05-23;1;;gyalogos;normal;30;;1425;;8;;0;0;0;0;74
128;"Csergezán Pál";HU;Budai-hegység;2020-05-17;1;;gyalogos;normal;10;;230;;;;0;0;0;0;20
96;"Kisinócról a pusztákba";HU;Börzsöny;2020-05-16;1;;gyalogos;normal;18;;950;;8;;0;0;0;0;46
97;"Ördög kör instant túra";HU;Bakony;2020-05-16;1;;gyalogos;normal;53;;1070;;12;;0;0;0;0;101
127;"Szelim és Arany lyuk";HU;Gerecse;2020-05-10;1;;gyalogos;normal;14;;570;;;;0;0;0;0;32
95;Kevélyek;HU;Pilis;2020-05-07;1;;gyalogos;normal;10;;570;;4;;0;0;0;0;26
94;"Maszatmaraton: Mama 33 instant túra";HU;"Gödöllői dombság";2020-04-25;1;;gyalogos;normal;33;;517;;;;0;0;0;0;60
93;"Nagy-Kopasz hegy";HU;Budai-hegység;2020-04-23;1;;gyalogos;normal;20;;605;;6;;0;0;0;0;42
92;"Spa 42k Instant túra";HU;Alföld;2020-04-18;1;;gyalogos;normal;43;;208;;9;;0;0;0;0;69
82;"Kőről kőre a Biai hegyekben Geogo IT";HU;Budai-hegység;2020-04-11;1;;gyalogos;normal;26;;607;;6;;0;0;0;0;51
91;Vaskapu-Pilis;HU;Pilis;2020-04-11;1;;gyalogos;normal;21;;937;;;;0;0;0;0;50
90;"Apát-kúti völgy";HU;"Visegrádi hegység";2020-04-09;1;;gyalogos;normal;15;;438;;;;0;0;0;0;31
81;"Vértes Tatabányáról";HU;Gerecse;2020-04-04;1;;gyalogos;normal;21;;700;;4;;0;0;0;0;46
80;"Jakab 35 instant túra";HU;Bugac;2020-03-21;1;;gyalogos;normal;35;;150;;7;;0;0;0;0;56
79;"Visegrád fellegvár";HU;Pilis;2020-03-15;1;;gyalogos;normal;16;;550;;5;;0;0;0;0;35
78;"Reguly Antal Emléktúra 35";HU;Bakony;2020-03-07;1;;gyalogos;normal;35;;690;;7;;0;0;0;0;66
77;"** Vaskapu";HU;Pilis;2020-02-23;1;;gyalogos;normal;15;;794;;5;;0;0;3;0;41
76;Kámor;HU;Börzsöny;2020-02-16;1;;gyalogos;normal;20;;1021;;6;;0;0;5;2;53
75;"PITE 30 TT";HU;Mecsek;2020-02-15;1;;gyalogos;normal;29;;855;;6;;0;0;0;0;64
74;"Téli sóút 34 TT";HU;Szolnok;2020-02-01;1;;gyalogos;normal;32;;52;;6;;0;0;0;0;55
89;Tardos;HU;Gerecse;2020-02-01;1;;gyalogos;normal;12;;411;;;;0;0;0;0;29
88;Huszonnégyökrös-hegy;HU;Budai-hegység;2020-01-26;1;;gyalogos;normal;13;;380;;;;0;0;0;0;30
72;"Fagyott mesevilág: Lillafüred";HU;Bükk;2020-01-25;2;turistahaz;gyalogos;normal;30;;1195;;9;vandor;1;0;0;6;78
73;"Nagyvisnyó - Stimecz ház";HU;Bükk;2020-01-25;1;;gyalogos;normal;20;;1204;;8;;0;0;0;0;57
87;Fenyőgyöngye;HU;Budai-hegység;2020-01-25;1;;gyalogos;normal;10;;396;;;;0;0;0;0;26
70;"Nomád téli ""expedíció"" a Bükkben";HU;Bükk;2020-01-11;2;sator;gyalogos;normal;32;;1123;;11;vandor;1;0;0;7;79
71;"**Téli Turul Teljesítménytúra 20";HU;Budai-hegység;2020-01-11;1;;gyalogos;normal;22;;640;;5;;0;0;0;0;49
86;"Gyömbér-Chopok kör";SK;"Alacsony Tátra";2020-01-11;2;turistahaz;gyalogos;normal;2;6;380;692;;vandor;1;0;15;0;74
69;**;HU;Pilis;2020-01-05;1;;gyalogos;normal;22;;1218;;5;;0;0;0;0;60
85;Tündér-szikla;HU;Budai-hegység;2020-01-04;1;;gyalogos;normal;10;;341;;;;0;0;0;0;25
68;"Szilveszter 2019";AT;Schneealpe;2019-12-30;2;apartman;gyalogos;normal;15.6;;789;;5;csillag;1;0;2;0;46
84;"Kis-Gerecse kőfejtő";HU;Gerecse;2019-12-29;1;;gyalogos;normal;9;;256;;4;;0;0;0;0;22
66;"Brassó, Hétlétra-szurdok";RO;Brassó;2019-12-21;1;;gyalogos;normal;12;5;949;310;9;;0;0;0;0;67
65;"Évzáró 2019";HU;Pilis;2019-12-01;1;turistahaz;gyalogos;normal;17;;635;;4;vandor;1;0;0;5;44
62;**;HU;Cserhát;2019-11-03;1;;gyalogos;normal;17;;400;;5;;0;0;0;0;34
61;"Alpenvereinsteig (B)";AT;Rax;2019-10-27;1;;gyalogos;normal;14;4;1044;98;7;;0;0;1;0;58
83;Hármashatár-hegy;HU;Budai-hegység;2019-10-26;1;;gyalogos;normal;13;;541;;6;;0;0;0;0;30
48;"Bélapátfalvától a Bükkbe";HU;Bükk;2019-10-23;1;;gyalogos;normal;15;;630;;5;;0;0;0;0;35
60;"Pusztamarót - jelöletlen utak";HU;Gerecse;2019-10-22;1;;gyalogos;normal;10;;422;;;;0;0;0;0;23
59;Nagy-szénás;HU;Budai-hegység;2019-10-21;1;;gyalogos;normal;22;;580;;;;0;0;0;0;45
58;"Kő kapu (Vaskapu)";HU;Pilis;2019-10-20;1;;gyalogos;normal;10;;366;;;;0;0;0;0;22
47;Selmecbánya;SK;Selmecbánya;2019-10-19;2;turistahaz;gyalogos;normal;29;;1138;;10;csillag;1;0;0;10;67
46;"Szlovák Paradicsom - Sokolina Dolina";SK;"Szlovák paradicsom";2019-10-11;2;turistahaz;gyalogos;normal;33;;1200;;18;csillag;2;0;0;14;76
44;"Pilisi szurdok túra";HU;Pilis;2019-09-14;1;;gyalogos;normal;28;;1117;;16;;1;0;0;8;64
45;"Grossvenediger 3666 m";AT;"Hohe Tauern";2019-09-14;2;turistahaz;gyalogos;normal;0;28;0;2553;16;vandor;2;0;4;0;198
57;"Zebegény tábor";HU;Börzsöny;2019-08-18;1;;gyalogos;normal;9;;399;;;csillag;2;0;0;0;23
56;;RO;"Gyergyói hegyek";2019-08-01;3;turistahaz;gyalogos;normal;27;12;2595;889;;csillag;5;0;0;0;169
55;"Jennersdorf - evezés a Rábán";HU;Rába;2019-07-27;1;sator;vizi;folyasirany;26;;0;;;csillag;2;0;0;0;28
54;"Pilisszentiván Villa Negra";HU;Budai-hegység;2019-07-21;1;;gyalogos;normal;10;;230;;;;0;0;0;0;20
43;Helemba;SK;Helemba;2019-06-29;1;;gyalogos;normal;14;;571;;5;;0;0;3;2;32
39;"Gesause #2";AT;"Ennstaler Alpen";2019-06-22;2;turistahaz;gyalogos;normal;3;7;311;650;6;;1;0;1;12;58
53;"Morski Oko oda-vissza";PL;"Lengyel Tátra";2019-06-09;1;;gyalogos;normal;22;;837;;;;0;0;0;0;50
489V;"Rafttal a Szigetközben";HU;Szigetköz;2019-06-01;3;apartman;vizi;folyasirany;20;;;;;csillag;1;2;0;11;27
52;"Túravezetői tanfolyam 4";HU;Börzsöny;2019-06-01;1;;gyalogos;normal;40;;1415;;;;1;0;0;0;88
51;"Munkatúra - Túravezetői tanfolyam";HU;Budai-hegység;2019-05-25;1;;munka;;0;;0;;3;;0;0;0;0;21
50;Klastrompuszta;HU;Pilis;2019-05-19;1;;gyalogos;normal;12;;512;;;;0;0;0;0;28
38;"Nomád Vértes";HU;Vértes;2019-05-18;2;sator;gyalogos;normal;37;;718;;16;vandor;1;0;0;7;73
49;"Eldugott helyek Budán";HU;Budai-hegység;2019-05-18;1;;gyalogos;normal;10;;349;;;;0;0;0;0;22
42;"Túravezetői tanfolyam 3";HU;Budai-hegység;2019-05-11;1;;gyalogos;normal;14;;333;;;;0;0;0;0;28
41;"Túravezetői tanfolyam 2";HU;Budai-hegység;2019-05-04;1;;gyalogos;normal;11;;308;;;;0;0;0;0;23
40;"Velencei hegység keresztben";HU;"Velencei hegység";2019-05-01;1;;gyalogos;normal;14;;332;;;;0;0;0;0;28
37;"Országos Kéktúra - OKT-17";HU;Börzsöny;2019-04-21;2;turistahaz;gyalogos;normal;42;;1530;;;vandor;1;0;0;0;97
35;"Grossglockner mászás";AT;"Hohe Tauern";2019-04-12;3;turistahaz;gyalogos;normal;0;18;0;2139;14;vandor;2;0;2;0;152
34;"Zempléni kalandozás";HU;Zemplén;2019-04-07;1;;gyalogos;normal;19;;865;;7;;0;0;0;6;46
